ApplNo,SponsorApplicant
2196,PFIZER
4,PHARMICS                                          
159,LILLY                                             
552,ORGANON USA INC                                   
734,LILLY                                             
793,MEDA PHARMS                                       
1104,ORGANON USA INC                                   
1546,SCHERING                                          
2139,LILLY                                             
2245,PARKE DAVIS                                       
2282,ISO TEX                                           
2386,GD SEARLE LLC                                     
2918,POYTHRESS                                         
3158,SCHERING                                          
3240,NOVARTIS                                          
3402,PARKE DAVIS                                       
3444,SANOFI AVENTIS US                                 
3718,ROCHE                                             
3977,PARKEDALE                                         
4039,LILLY                                             
4040,LILLY                                             
4041,LILLY                                             
4054,LEDERLE                                           
4056,BRISTOL MYERS SQUIBB                              
4122,LILLY                                             
4125,ABBOTT                                            
4570,PHARMACIA AND UPJOHN                              
4589,B BRAUN                                           
4782,WYETH PHARMS INC                                  
5010,SANOFI AVENTIS US                                 
5151,NOVARTIS                                          
5213,ENDO PHARMS                                       
5264,HOSPIRA                                           
5292,SCHERING                                          
5319,ALCON                                             
5378,LUNDBECK INC                                      
5490,ORGANON USA INC                                   
5509,LILLY                                             
5521,LILLY                                             
5545,ABBOTT                                            
5619,MERCK                                             
5620,MERCK                                             
5657,BRISTOL MYERS SQUIBB                              
5691,MEDPOINTE PHARM HLC                               
5725,LILLY                                             
5794,ORTHO MCNEIL PHARM                                
5795,SHIRE                                             
5845,MCNEIL CONS                                       
5856,ABBOTT                                            
5897,HIKMA (MAPLE)                                     
5914,NOVARTIS                                          
5929,VALEANT                                           
5932,ABBOTT                                            
5939,AKORN                                             
5963,SCHERING                                          
5970,ELKINS SINN                                       
6002,SANOFI AVENTIS US                                 
6008,NOVARTIS                                          
6012,LEDERLE                                           
6035,NOVARTIS                                          
6044,ABBOTT                                            
6071,ROCHE                                             
6095,HOSPIRA                                           
6110,ORTHO MCNEIL PHARM                                
6134,ROXANE                                            
6135,LILLY                                             
6146,MCNEIL CONS                                       
6170,B BRAUN                                           
6188,DAVA PHARMS INC                                   
6203,NOVARTIS                                          
6213,LILLY                                             
6270,ARBROOK                                           
6309,REED AND CARNRICK                                 
6317,LILLY                                             
6325,LILLY                                             
6327,SANOFI AVENTIS US                                 
6328,SANOFI AVENTIS US                                 
6333,CENT PHARMS                                       
6343,BAXTER HLTHCARE                                   
6383,MALLINCKRODT                                      
6403,NOVARTIS                                          
6412,SANOFI AVENTIS US                                 
6441,PARKE DAVIS                                       
6459,LEDERLE                                           
6460,LILLY                                             
6470,LILLY                                             
6488,APP PHARMS                                        
6514,PARKE DAVIS                                       
6525,ROCHE                                             
6530,AZUR PHARMA                                       
6536,ODYSSEY PHARMS                                    
6580,MCGAW                                             
6620,NOVARTIS                                          
6632,LILLY                                             
6668,MERCK                                             
6695,LUNDBECK INC                                      
6772,GLAXOSMITHKLINE                                   
6773,LEDERLE                                           
6798,PHARMACIA AND UPJOHN                              
6799,BRISTOL MYERS SQUIBB                              
6800,ABBOTT                                            
6811,PANRAY                                            
6823,HOSPIRA                                           
6882,SANOFI AVENTIS US                                 
6904,BRISTOL MYERS SQUIBB                              
6905,ABBOTT                                            
6917,ROCHE                                             
6920,LEDERLE                                           
6921,SCHERING                                          
6927,RANBAXY                                           
6931,GLAXOSMITHKLINE                                   
7012,BAYER HLTHCARE                                    
7073,PHARMACIA AND UPJOHN                              
7085,WARNER CHILCOTT                                   
7110,MERCK                                             
7245,LILLY                                             
7320,CONSOLIDATED MIDLAND                              
7335,APOTHECON                                         
7336,3M                                                
7337,ENDO PHARMS                                       
7390,SHIRE                                             
7392,LILLY                                             
7409,APTALIS PHARMA US                                 
7413,PHARMACIA AND UPJOHN                              
7504,SANOFI AVENTIS US                                 
7513,HOSPIRA                                           
7517,KING PHARMS                                       
7529,LILLY                                             
7600,PARKEDALE                                         
7638,SCHERING PLOUGH                                   
7707,ABBOTT                                            
7750,MERCK                                             
7757,ROCHE                                             
7794,TEVA                                              
7842,DAVIS AND GECK                                    
7865,LILLY                                             
7883,TEVA WOMENS                                       
7898,MERCK                                             
7935,WYETH PHARMS INC                                  
7936,CHATTEM                                           
7942,FOREST LABS                                       
7953,ALLERGAN                                          
7959,VALEANT PHARM INTL                                
7961,APTALIS PHARMA US                                 
7984,PARKE DAVIS                                       
8032,GE HEALTHCARE                                     
8041,PARKE DAVIS                                       
8048,ASTRAZENECA                                       
8085,DAVA PHARMS INC                                   
8102,SANOFI AVENTIS US                                 
8107,HOSPIRA                                           
8114,SCHERING                                          
8126,PHARMACIA AND UPJOHN                              
8173,VALEANT PHARM INTL                                
8228,MERCK                                             
8248,BAXTER HLTHCARE CORP                              
8278,NOVARTIS                                          
8284,PANRAY                                            
8303,NOVARTIS                                          
8306,ANI PHARMS                                        
8316,SANOFI AVENTIS US                                 
8317,PARKEDALE                                         
8319,NOVARTIS                                          
8322,ABBOTT                                            
8370,APTALIS PHARMA US                                 
8372,QUESTCOR PHARMS                                   
8378,INTL MINERALS                                     
8381,ANI PHARMS                                        
8392,BRISTOL MYERS SQUIBB                              
8402,SANOFI AVENTIS US                                 
8414,ROCHE                                             
8420,ROCHE                                             
8428,PANRAY                                            
8453,SANDOZ                                            
8472,MERCK                                             
8492,NOVARTIS                                          
8499,LILLY                                             
8506,MERCK                                             
8565,WYETH AYERST                                      
8578,COREPHARMA                                        
8592,EASTMAN KODAK                                     
8604,ANI PHARMS                                        
8662,SANDOZ                                            
8678,SANDOZ                                            
8682,SANOFI AVENTIS US                                 
8693,PROCTER AND GAMBLE                                
8697,PHARMACIA AND UPJOHN                              
8708,WELLSPRING PHARM                                  
8719,VALEANT PHARM INTL                                
8720,VALEANT PHARM INTL                                
8732,SHIRE                                             
8762,PARKE DAVIS                                       
8767,SANOFI AVENTIS US                                 
8794,SCHERING PLOUGH                                   
8809,HOSPIRA                                           
8814,MEDPOINTE PHARM HLC                               
8816,OAK PHARMS                                        
8822,NOVARTIS                                          
8826,SCHERING PLOUGH                                   
8842,APOTHECON                                         
8843,GD SEARLE LLC                                     
8845,HOSPIRA                                           
8847,APOTHECON                                         
8848,FOUGERA PHARMS                                    
8855,PARKE DAVIS                                       
8857,WYETH AYERST                                      
8867,3M                                                
8869,LILLY                                             
8883,APOTHECON                                         
8915,ORTHO MCNEIL PHARM                                
8917,PHARMACIA AND UPJOHN                              
8922,MEDICIS                                           
8943,DURAMED PHARMS BARR                               
8951,LILLY                                             
8955,MCNEIL                                            
8975,ORGANON USA INC                                   
8983,ROCHE                                             
9000,NOVARTIS                                          
9008,ORTHO MCNEIL PHARM                                
9018,MERCK                                             
9048,VALEANT PHARM INTL                                
9052,BRISTOL MYERS SQUIBB                              
9053,TEVA                                              
9078,PARKE DAVIS                                       
9087,NOVARTIS                                          
9088,TEVA                                              
9102,GLAXOSMITHKLINE                                   
9108,PAL PAK                                           
9112,RANBAXY                                           
9115,NOVARTIS                                          
9127,PFIZER                                            
9149,GLAXOSMITHKLINE                                   
9164,PFIZER                                            
9165,ENDO PHARM                                        
9166,SANOFI AVENTIS US                                 
9170,VALEANT                                           
9175,SHIONOGI INC                                      
9176,PFIZER GLOBAL                                     
9182,ROCHE                                             
9190,GUERBET                                           
9193,MERCK                                             
9215,NOVARTIS                                          
9217,MEDPOINTE PHARM HLC                               
9218,BRISTOL MYERS SQUIBB                              
9238,LILLY                                             
9255,FOREST PHARMS                                     
9268,PARKE DAVIS                                       
9273,IMPAX LABS                                        
9276,BOWMAN PHARMS                                     
9278,PANRAY                                            
9282,NOVARTIS                                          
9296,NOVARTIS                                          
9309,GLAXOSMITHKLINE                                   
9319,FOREST LABS                                       
9321,BRACCO                                            
9330,COVIS PHARMA                                      
9344,LILLY                                             
9357,BRISTOL MYERS SQUIBB                              
9372,WYETH AYERST                                      
9376,LILLY                                             
9378,PHARMACIA AND UPJOHN                              
9386,ASPEN GLOBAL                                      
9388,DURAMED PHARMS BARR                               
9391,PANRAY                                            
9395,GLENWOOD                                          
9402,JHP PHARMS                                        
9410,SANOFI AVENTIS US                                 
9434,NOVARTIS                                          
9435,APP PHARMS                                        
9436,NOVARTIS                                          
9452,BLULINE                                           
9453,VALE                                              
9458,IMPAX LABS                                        
9470,APP PHARMS                                        
9477,BUNDY                                             
9486,MCNEIL CONS                                       
9489,LEDERLE                                           
9495,GLAXOSMITHKLINE                                   
9509,MERCK                                             
9519,SANOFI AVENTIS US                                 
9561,GE HEALTHCARE                                     
9585,BAYER PHARMS                                      
9627,IMPAX LABS                                        
9631,BOWMAN PHARMS                                     
9637,AKORN                                             
9645,VITARINE                                          
9659,PANRAY                                            
9660,ROCHE                                             
9663,BUNDY                                             
9667,VALEANT PHARM INTL                                
9668,VALEANT PHARM INTL                                
9698,MEDPOINTE PHARM HLC                               
9729,LEDERLE                                           
9750,DISTA                                             
9766,SCHERING                                          
9768,SANOFI AVENTIS US                                 
9789,MEDPOINTE PHARM HLC                               
9796,PFIPHARMECS                                       
9818,MONARCH PHARMS                                    
9829,VALEANT PHARM INTL                                
9830,VALEANT PHARM INTL                                
9838,SANDOZ                                            
9854,ORGANON USA INC                                   
9859,ROXANE                                            
9864,PHARMACIA AND UPJOHN                              
9866,PHARMACIA AND UPJOHN                              
9895,BAYER PHARMS                                      
9900,PHARMACIA AND UPJOHN                              
9925,ASTRAZENECA                                       
9926,FERNDALE LABS                                     
9986,PHARMACIA AND UPJOHN                              
9987,PHARMACIA AND UPJOHN                              
9996,PFIZER                                            
10010,BAYER PHARMS                                      
10012,LILLY                                             
10021,ABBOTT                                            
10028,WYETH AYERST                                      
10040,BRACCO                                            
10060,KING PHARMS                                       
10093,UCB INC                                           
10104,BIOVAIL TECHNOLOGIES                              
10124,LANNETT                                           
10151,PARKE DAVIS                                       
10155,SANOFI AVENTIS US                                 
10187,NOVARTIS                                          
10209,SCHERING                                          
10210,SCHERING                                          
10220,GE HEALTHCARE                                     
10251,TARGACEPT                                         
10255,SCHERING                                          
10347,BRISTOL MYERS SQUIBB                              
10348,WYETH AYERST                                      
10349,BAXTER HLTHCARE CORP                              
10355,ROCHE                                             
10374,3M                                                
10375,3M                                                
10379,KING PHARMS                                       
10392,PFIZER                                            
10401,NURO PHARMA                                       
10402,WYETH PHARMS INC                                  
10417,APP PHARMS                                        
10418,ASTRAZENECA                                       
10423,ROCHE                                             
10441,EVERYLIFE                                         
10460,BOEHRINGER INGELHEIM                              
10485,ROERIG                                            
10496,ASTRAZENECA                                       
10515,HOSPIRA                                           
10520,MERCK                                             
10533,NOVARTIS                                          
10554,PFIZER                                            
10562,MERCK                                             
10571,GLAXOSMITHKLINE                                   
10573,3M                                                
10581,PHYS PRODS VA                                     
10585,MERCK                                             
10596,PARKE DAVIS                                       
