ApplNo,Form,Dosage,drugname,activeingred
4,SOLUTION/DROPS; OPHTHALMIC,1%,PAREDRINE,HYDROXYAMPHETAMINE HYDROBROMIDE
159,TABLET; ORAL,500MG,SULFAPYRIDINE,SULFAPYRIDINE
552,INJECTABLE; INJECTION,"20,000 UNITS/ML",LIQUAEMIN SODIUM,HEPARIN SODIUM
552,INJECTABLE; INJECTION,"40,000 UNITS/ML",LIQUAEMIN SODIUM,HEPARIN SODIUM
552,INJECTABLE; INJECTION,"5,000 UNITS/ML",LIQUAEMIN SODIUM,HEPARIN SODIUM
552,INJECTABLE; INJECTION,"1,000 UNITS/ML",LIQUAEMIN SODIUM,HEPARIN SODIUM
552,INJECTABLE; INJECTION,"10,000 UNITS/ML",LIQUAEMIN SODIUM,HEPARIN SODIUM
552,INJECTABLE; INJECTION,100 UNITS/ML,LIQUAEMIN LOCK FLUSH,HEPARIN SODIUM
552,INJECTABLE; INJECTION,"1,000 UNITS/ML",HEPARIN SODIUM,HEPARIN SODIUM
552,INJECTABLE; INJECTION,"5,000 UNITS/ML",HEPARIN SODIUM,HEPARIN SODIUM
552,INJECTABLE; INJECTION,"10,000 UNITS/ML",HEPARIN SODIUM,HEPARIN SODIUM
552,INJECTABLE; INJECTION,"1,000 UNITS/ML",LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
552,INJECTABLE; INJECTION,"5,000 UNITS/ML",LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
552,INJECTABLE; INJECTION,"10,000 UNITS/ML",LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
734,INJECTABLE; INJECTION,EQ 1MG BASE/ML,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE
734,INJECTABLE; INJECTION,EQ 0.2MG BASE/ML,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE
734,INJECTABLE; INJECTION,EQ 0.1MG BASE/ML,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE
793,TABLET; ORAL,15MG,BUTISOL SODIUM,BUTABARBITAL SODIUM
793,TABLET; ORAL,50MG,BUTISOL SODIUM,BUTABARBITAL SODIUM
793,TABLET; ORAL,30MG,BUTISOL SODIUM,BUTABARBITAL SODIUM
793,TABLET; ORAL,100MG,BUTISOL SODIUM,BUTABARBITAL SODIUM
1104,INJECTABLE; INJECTION,5MG/ML,DOCA,DESOXYCORTICOSTERONE ACETATE
1546,TABLET; ORAL,125MG,GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE
2139,TABLET; ORAL,5MG,MENADIONE,MENADIONE
2245,TABLET; ORAL,65MG,PROLOID,THYROGLOBULIN
2245,TABLET; ORAL,325MG,PROLOID,THYROGLOBULIN
2245,TABLET; ORAL,32MG,PROLOID,THYROGLOBULIN
2245,TABLET; ORAL,200MG,PROLOID,THYROGLOBULIN
2245,TABLET; ORAL,100MG,PROLOID,THYROGLOBULIN
2245,TABLET; ORAL,16MG,PROLOID,THYROGLOBULIN
2245,TABLET; ORAL,130MG,PROLOID,THYROGLOBULIN
2282,INJECTABLE; INJECTION,100MG/ML,INULIN AND SODIUM CHLORIDE,INULIN
2386,TABLET; ORAL,100MG,AMINOPHYLLIN,AMINOPHYLLINE
2386,TABLET; ORAL,200MG,AMINOPHYLLIN,AMINOPHYLLINE
2918,POWDER; TOPICAL,33.32%,BENSULFOID,SULFUR
3158,TABLET; ORAL,10MG,ORETON METHYL,METHYLTESTOSTERONE
3158,TABLET; ORAL,25MG,ORETON METHYL,METHYLTESTOSTERONE
3240,TABLET; ORAL,10MG,METANDREN,METHYLTESTOSTERONE
3240,TABLET; ORAL,25MG,METANDREN,METHYLTESTOSTERONE
3240,TABLET; BUCCAL/SUBLINGUAL,5MG,METANDREN,METHYLTESTOSTERONE
3240,TABLET; BUCCAL/SUBLINGUAL,10MG,METANDREN,METHYLTESTOSTERONE
3402,INJECTABLE; INJECTION,5PRESSOR UNITS/ML,PITRESSIN TANNATE,VASOPRESSIN TANNATE
3444,CAPSULE; ORAL,"50,000 IU",DRISDOL,ERGOCALCIFEROL
3718,INJECTABLE; INJECTION,5MG/ML,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
3718,INJECTABLE; INJECTION,10MG/ML,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
3718,INJECTABLE; INJECTION,37.5MG/ML,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
3718,TABLET; ORAL,5MG,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
3977,INJECTABLE; INJECTION,1MG/ML,THEELIN,ESTRONE
3977,INJECTABLE; INJECTION,2MG/ML,THEELIN,ESTRONE
3977,INJECTABLE; INJECTION,5MG/ML,THEELIN,ESTRONE
4039,"TABLET, DELAYED RELEASE; ORAL",0.1MG,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4039,"TABLET, DELAYED RELEASE; ORAL",0.5MG,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4039,"TABLET, DELAYED RELEASE; ORAL",1MG,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4039,"TABLET, DELAYED RELEASE; ORAL",0.25MG,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4039,"TABLET, DELAYED RELEASE; ORAL",5MG,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4040,SUPPOSITORY; VAGINAL,0.1MG,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4040,SUPPOSITORY; VAGINAL,0.5MG,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4041,TABLET; ORAL,0.1MG,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4041,TABLET; ORAL,0.5MG,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4041,TABLET; ORAL,1MG,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4041,TABLET; ORAL,5MG,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4054,TABLET; ORAL,500MG,SULFADIAZINE,SULFADIAZINE
4054,INJECTABLE; INJECTION,250MG/ML,SULFADIAZINE SODIUM,SULFADIAZINE SODIUM
4056,SUPPOSITORY; VAGINAL,0.1MG,STILBESTROL,DIETHYLSTILBESTROL
4056,SUPPOSITORY; VAGINAL,0.5MG,STILBESTROL,DIETHYLSTILBESTROL
4056,INJECTABLE; INJECTION,0.2MG/ML,STILBESTROL,DIETHYLSTILBESTROL
4056,INJECTABLE; INJECTION,0.5MG/ML,STILBESTROL,DIETHYLSTILBESTROL
4056,INJECTABLE; INJECTION,1MG/ML,STILBESTROL,DIETHYLSTILBESTROL
4056,INJECTABLE; INJECTION,5MG/ML,STILBESTROL,DIETHYLSTILBESTROL
4056,TABLET; ORAL,0.1MG,STILBETIN,DIETHYLSTILBESTROL
4056,TABLET; ORAL,0.5MG,STILBETIN,DIETHYLSTILBESTROL
4056,TABLET; ORAL,1MG,STILBETIN,DIETHYLSTILBESTROL
4056,TABLET; ORAL,5MG,STILBETIN,DIETHYLSTILBESTROL
